mr,ref,alignment
"request(platforms[PlayStation], specifier[weirdest])",What's the weirdest game you've ever played on PlayStation.,(0: da) (12: specifier) (49: platforms)
"request(platforms[PlayStation], specifier[weirdest])",So what's the weirdest game you got for the PlayStation?,(0: da) (15: specifier) (45: platforms)
"request(platforms[PlayStation], specifier[weirdest])",What's the weirdest game you ever played on the PlayStation?,(0: da) (12: specifier) (49: platforms)
"inform(name[Spider-Man], exp_release_date[September 7, 2018], developer[Insomniac Games], genres[action-adventure], player_perspective[third person], platforms[PlayStation])","Spider-Man is a third person action-adventure game. It is developed by Insomniac Games for PlayStation. It will be released on September 7, 2018.",(0: da) (0: name) (16: playerperspective) (29: genres) (72: developer) (92: platforms) (129: expreleasedate)
"inform(name[Spider-Man], exp_release_date[September 7, 2018], developer[Insomniac Games], genres[action-adventure], player_perspective[third person], platforms[PlayStation])","Spider-Man is a new third person action-adventure from Insomniac Games. It is set for release on September 7, 2018 for PlayStation.",(0: da) (0: name) (20: playerperspective) (33: genres) (55: developer) (98: expreleasedate) (121: platforms)
"inform(name[Spider-Man], exp_release_date[September 7, 2018], developer[Insomniac Games], genres[action-adventure], player_perspective[third person], platforms[PlayStation])","Insomniac Games should release Spider-Man on September 7, 2018. It will be a third person action-adventure game for PlayStation.",(0: da) (0: developer) (31: name) (45: expreleasedate) (78: playerperspective) (91: genres) (117: platforms)
"request(platforms[PC], specifier[immersive])",What's a game for the PC that you think is immersive?,(0: da) (23: platforms) (44: specifier)
"request(platforms[PC], specifier[immersive])",Are there any really immersive PC games you could recommend?,(0: da) (21: specifier) (31: platforms)
"request(platforms[PC], specifier[immersive])",What is the most immersive game you have played on PC?,(0: da) (17: specifier) (51: platforms)
"inform(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], esrb[T (for Teen)], rating[good], genres[real-time strategy], player_perspective[bird view])",Age of Empires II: The Age of Kings is a fun real-time strategy game developed by Ensemble Studios. The bird view game is rated T (for Teen) and was received well by critics.,(0: da) (0: name) (42: rating) (46: genres) (83: developer) (105: playerperspective) (124: esrb)
"inform(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], esrb[T (for Teen)], rating[good], genres[real-time strategy], player_perspective[bird view])",Real-time strategy enthusiasts will love Age of Empires II: The Age of Kings by Ensemble Studios. The game is rated T (for Teen) with a good rating. There is a bird view perspective in this game.,(0: da) (0: genres) (41: name) (81: developer) (112: esrb) (139: rating) (163: playerperspective)
"inform(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], esrb[T (for Teen)], rating[good], genres[real-time strategy], player_perspective[bird view])","Age of Empires II: The Age of Kings is a good real-time strategy game that has a bird view. Ensemble Studios developed it, and it is rated T (for Teen).",(0: da) (0: name) (42: rating) (47: genres) (82: playerperspective) (94: developer) (136: esrb)
"inform(name[Assassin's Creed Chronicles: India], release_year[2016], developer[Climax Studios], rating[poor], genres[action-adventure, platformer])",Assassin's Creed Chronicles: India was released by Climax Studios in 2016. It is a poorly rated action-adventure platformer.,(0: da) (0: name) (53: developer) (71: releaseyear) (84: rating) (98: genres)
"inform(name[Assassin's Creed Chronicles: India], release_year[2016], developer[Climax Studios], rating[poor], genres[action-adventure, platformer])",Assassin's Creed Chronicles: India is considered a rather poor action-adventure platformer released in 2016 by Climax Studios.,(0: da) (0: name) (60: rating) (65: genres) (105: releaseyear) (113: developer)
"inform(name[Assassin's Creed Chronicles: India], release_year[2016], developer[Climax Studios], rating[poor], genres[action-adventure, platformer])",Assassin's Creed Chronicles: India is a poor action-adventure platformer developed by Climax Studios that released in 2016.,(0: da) (0: name) (42: rating) (47: genres) (88: developer) (120: releaseyear)
"request_explanation(developer[Grimlore Games], rating[poor], genres[real-time strategy, role-playing])",What don't you like about real-time role-playing strategy games from Grimlore Games?,(0: da) (27: genres) (70: developer)
"request_explanation(developer[Grimlore Games], rating[poor], genres[real-time strategy, role-playing])",What makes you dislike Grimlore Games' RTS RPGs?,(0: da) (15: rating) (23: developer) (40: genres)
"request_explanation(developer[Grimlore Games], rating[poor], genres[real-time strategy, role-playing])",I'm curious to know why you think the games developed by Grimlore Games that combine the real-time strategy and role-playing genres are horrible.,(0: da) (58: developer) (90: genres)
"inform(name[Superhot], release_year[2016], genres[indie, shooter, tactical], player_perspective[first person], has_multiplayer[no])",Superhot is a tactical shooter released by an indie developer in 2016. It's a single-player only game restricted to first person perspective.,(0: da) (0: name) (14: genres) (65: releaseyear) (78: hasmultiplayer) (117: playerperspective)
"inform(name[Superhot], release_year[2016], genres[indie, shooter, tactical], player_perspective[first person], has_multiplayer[no])","Superhot, from 2016, is an indie tactical FPS. The game, however, has no multiplayer.",(0: da) (0: name) (16: releaseyear) (29: genres) (42: playerperspective) (73: hasmultiplayer)
"inform(name[Superhot], release_year[2016], genres[indie, shooter, tactical], player_perspective[first person], has_multiplayer[no])",Superhot is an indie tactical shooter game played in the first person. It was released in 2016 and doesn't have multiplayer.,(0: da) (0: name) (15: genres) (57: playerperspective) (91: releaseyear) (113: hasmultiplayer)
"inform(name[Portal 2], genres[platformer, puzzle, shooter], player_perspective[first person], platforms[PlayStation, PC], available_on_steam[yes])","For a first person shooter and puzzle platformer, try Portal 2. It is available on PlayStation and PC, and can be found on Steam.",(0: da) (6: playerperspective) (19: genres) (55: name) (84: platforms) (122: availableonsteam)
"inform(name[Portal 2], genres[platformer, puzzle, shooter], player_perspective[first person], platforms[PlayStation, PC], available_on_steam[yes])",Portal 2 is a platforming first person shooter with puzzle elements. It was released on PlayStation and PC and is available on Steam.,(0: da) (0: name) (14: genres) (26: playerperspective) (89: platforms) (127: availableonsteam)
"inform(name[Portal 2], genres[platformer, puzzle, shooter], player_perspective[first person], platforms[PlayStation, PC], available_on_steam[yes])","Portal 2 is a first person platformer shooter that involves puzzle solving. It is available on Steam, and is out on is on PlayStation and PC platforms.",(0: da) (0: name) (14: playerperspective) (27: genres) (95: availableonsteam) (124: platforms)
"confirm(name[Mafia], platforms[PC], available_on_steam[yes])",Is the Mafia that you're referring to the one for the PC that you can get on Steam?,(0: da) (7: name) (55: platforms) (78: availableonsteam)
"confirm(name[Mafia], platforms[PC], available_on_steam[yes])","Would that be Mafia, the PC game available on Steam?",(0: da) (14: name) (25: platforms) (46: availableonsteam)
"confirm(name[Mafia], platforms[PC], available_on_steam[yes])","Do you mean the Steam game on PC, Mafia?",(0: da) (16: availableonsteam) (30: platforms) (35: name)
"request_explanation(rating[poor], genres[real-time strategy, role-playing], platforms[PC])",How come you don't enjoy role-playing RTS games on the PC?,(0: da) (26: genres) (56: platforms)
"request_explanation(rating[poor], genres[real-time strategy, role-playing], platforms[PC])",Why do you avoid real-time strategy PC games with role-playing elements?,(0: da) (11: rating) (17: genres) (36: platforms)
"request_explanation(rating[poor], genres[real-time strategy, role-playing], platforms[PC])","What bothers you about PC games with a role-playing, real-time strategy element?",(0: da) (23: platforms) (39: genres)
"verify_attribute(name[The Room], developer[Fireproof Games], rating[excellent], genres[indie, point-and-click, puzzle])","You mentioned earlier that The Room by Fireproof Games was one of your favorites. Is that the case with most indie, point-and-click, puzzle games?",(0: da) (27: name) (39: developer) (71: rating) (110: genres)
"verify_attribute(name[The Room], developer[Fireproof Games], rating[excellent], genres[indie, point-and-click, puzzle])",You said that The Room was a really excellent game. Do you also love other indie point-and-click puzzle games developed by Fireproof Games?,(0: da) (14: name) (36: rating) (76: genres) (124: developer)
"verify_attribute(name[The Room], developer[Fireproof Games], rating[excellent], genres[indie, point-and-click, puzzle])",You previously mentioned that you loved The Room. Are you frequently a big fan of indie point-and-click puzzle games from Fireproof Games?,(0: da) (34: rating) (40: name) (83: genres) (123: developer)
"verify_attribute(name[Dance Dance Revolution Universe 3], developer[Konami], rating[poor], platforms[Xbox])",I remember that you dislike Dance Dance Revolution Universe 3. Is that true of all Konami games on the Xbox?,(0: da) (20: rating) (28: name) (83: developer) (102: platforms)
"verify_attribute(name[Dance Dance Revolution Universe 3], developer[Konami], rating[poor], platforms[Xbox])",You mentioned earlier that you think Dance Dance Revolution Universe 3 isn't fun at all. Do you feel that Konami's whole lineup of Xbox games is somewhat like that?,(0: da) (37: name) (108: developer) (133: platforms)
"verify_attribute(name[Dance Dance Revolution Universe 3], developer[Konami], rating[poor], platforms[Xbox])",I heard you hated Dance Dance Revolution Universe 3. Do you dislike other Konami games on Xbox?,(0: da) (12: rating) (18: name) (74: developer) (89: platforms)
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], genres[turn-based strategy], has_multiplayer[yes])",Heroes of Might and Magic III: The Restoration of Erathia is a turn-based strategy with multiplayer. It was released in 1999.,(0: da) (0: name) (64: genres) (89: hasmultiplayer) (122: releaseyear)
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], genres[turn-based strategy], has_multiplayer[yes])","In 1999 a multiplayer turn-based strategy, Heroes of Might and Magic III: The Restoration of Erathia, was released.",(0: da) (3: releaseyear) (10: hasmultiplayer) (22: genres) (44: name)
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], genres[turn-based strategy], has_multiplayer[yes])",Heroes of Might and Magic III: The Restoration of Erathia is a multiplayer turn-based strategy that came out in 1999.,(0: da) (0: name) (64: hasmultiplayer) (76: genres) (113: releaseyear)
request(specifier[scary]),What's a good scary game?,(0: da) (15: specifier)
request(specifier[scary]),Have you ever played a game that you found scary?,(0: da) (43: specifier)
request(specifier[scary]),Have you ever played some really scary games?,(0: da) (33: specifier)
"recommend(name[The Wolf Among Us], player_perspective[third person])","Speaking of third person games, have you played The Wolf Among Us?",(0: da) (12: playerperspective) (49: name)
"recommend(name[The Wolf Among Us], player_perspective[third person])","Speaking of third person perspective games, have you played The Wolf Among Us?",(0: da) (12: playerperspective) (61: name)
"recommend(name[The Wolf Among Us], player_perspective[third person])","Since you like third person games I think you'd enjoy The Wolf Among Us. Have you played it, by any chance?",(0: da) (15: playerperspective) (55: name)
"inform(name[NHL 15], esrb[E 10+ (for Everyone 10 and Older)], genres[simulation, sport], player_perspective[bird view], has_multiplayer[yes], platforms[PlayStation, Xbox])","The sport simulation game, NHL 15, is developed for PlayStation and Xbox only, and rated E 10+ (for Everyone 10 and Older). It is played from a bird view perspective and has multiplayer.",(0: da) (4: genres) (28: name) (54: platforms) (92: esrb) (146: playerperspective) (176: hasmultiplayer)
"inform(name[NHL 15], esrb[E 10+ (for Everyone 10 and Older)], genres[simulation, sport], player_perspective[bird view], has_multiplayer[yes], platforms[PlayStation, Xbox])","NHL 15 is a sport sim almost everyone can play thanks to its E 10+ rating. It's limited to a bird's eye view, but you can play on PlayStation and Xbox with your friends because there is even a multiplayer feature.",(0: da) (0: name) (12: genres) (61: esrb) (94: playerperspective) (134: platforms) (195: hasmultiplayer)
"inform(name[NHL 15], esrb[E 10+ (for Everyone 10 and Older)], genres[simulation, sport], player_perspective[bird view], has_multiplayer[yes], platforms[PlayStation, Xbox])","NHL 15 is an E 10+ rated sports sim for PlayStation and Xbox only. It uses a strategic bird view perspective, and has a multiplayer mode.",(0: da) (0: name) (13: esrb) (25: genres) (40: platforms) (87: playerperspective) (120: hasmultiplayer)
"confirm(name[Ancient Cities], exp_release_date[December 1, 2018])","Do you mean Ancient Cities, coming December 1, 2018?",(0: da) (12: name) (36: expreleasedate)
"confirm(name[Ancient Cities], exp_release_date[December 1, 2018])","You mean the Ancient Cities that's not coming out till December 1, 2018, right?",(0: da) (13: name) (56: expreleasedate)
"confirm(name[Ancient Cities], exp_release_date[December 1, 2018])","Do you mean the Ancient Cities that is expected to be released on December 1, 2018?",(0: da) (16: name) (66: expreleasedate)
"suggest(name[Undertale], genres[adventure, indie, role-playing], player_perspective[bird view])","Are you interested in indie adventure RPGs that use a bird view perspective, such as Undertale?",(0: da) (22: genres) (54: playerperspective) (86: name)
"suggest(name[Undertale], genres[adventure, indie, role-playing], player_perspective[bird view])","I was wondering, do you play any indie adventure RPGs that have a bird view perspective, like for example Undertale?",(0: da) (34: genres) (66: playerperspective) (108: name)
"suggest(name[Undertale], genres[adventure, indie, role-playing], player_perspective[bird view])","What do you think about indie adventure RPGs with a bird view, like Undertale?",(0: da) (24: genres) (52: playerperspective) (69: name)
"inform(name[Resident Evil 4], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])","Resident Evil 4 is a third person shooter game. Even though it doesn't have multiplayer, I would recommend it to anyone who enjoys action-adventure games.",(0: da) (0: name) (21: playerperspective) (34: genres) (77: hasmultiplayer)
"inform(name[Resident Evil 4], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])",Resident Evil 4 is a single-player action-adventure shooter with third person perspective.,(0: da) (0: name) (21: hasmultiplayer) (35: genres) (65: playerperspective)
"inform(name[Resident Evil 4], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])",Resident Evil 4 is a third person action-adventure shooter with no multiplayer features.,(0: da) (0: name) (21: playerperspective) (34: genres) (67: hasmultiplayer)
"recommend(name[The Witcher 3: Wild Hunt], has_multiplayer[no], platforms[Xbox])",I know you like single-player games you can play on the Xbox. Have you played The Witcher 3: Wild Hunt?,(0: da) (16: hasmultiplayer) (56: platforms) (79: name)
"recommend(name[The Witcher 3: Wild Hunt], has_multiplayer[no], platforms[Xbox])","Hmm, a good single-player game for the Xbox, you say? Have you heard of The Witcher 3: Wild Hunt?",(0: da) (13: hasmultiplayer) (39: platforms) (75: name)
"recommend(name[The Witcher 3: Wild Hunt], has_multiplayer[no], platforms[Xbox])",The Witcher 3: Wild Hunt on Xbox doesn't need multiplayer because of it's engaging story. Have you played it?,(0: da) (0: name) (29: platforms) (48: hasmultiplayer)
"inform(name[F1 2014], developer[Codemasters Birmingham], genres[driving/racing, simulation, sport])","Codemasters Birmingham developed a gamed called F1 2014, which is a sport racing simulator.",(0: da) (0: developer) (48: name) (69: genres)
"inform(name[F1 2014], developer[Codemasters Birmingham], genres[driving/racing, simulation, sport])",F1 2014 is a sport driving/racing simulator made by Codemasters Birmingham.,(0: da) (0: name) (13: genres) (52: developer)
"inform(name[F1 2014], developer[Codemasters Birmingham], genres[driving/racing, simulation, sport])",F1 2014 is a sport racing simulator that was developed by Codemasters Birmingham.,(0: da) (0: name) (13: genres) (58: developer)
"request_explanation(rating[poor], platforms[Xbox])",So why is it you hate Xbox games so much?,(0: da) (17: rating) (22: platforms)
"request_explanation(rating[poor], platforms[Xbox])",What about the Xbox do you find so unappealing?,(0: da) (15: platforms)
"request_explanation(rating[poor], platforms[Xbox])",What is it about games released for the Xbox that makes you hate them?,(0: da) (40: platforms) (60: rating)
"inform(name[Madden NFL 15], developer[EA Tiburon], rating[average], genres[simulation, sport], has_multiplayer[yes], platforms[PlayStation, Xbox])","EA Tiburon made Madden NFL 15 and as you might expect it's your average sports simulator. You can pick it up for the big two, Xbox and PlayStation, and play multiplayer through Xbox Live and the PlayStation Network.",(0: da) (0: developer) (16: name) (64: rating) (73: genres) (138: platforms) (158: hasmultiplayer)
"inform(name[Madden NFL 15], developer[EA Tiburon], rating[average], genres[simulation, sport], has_multiplayer[yes], platforms[PlayStation, Xbox])","Madden NFL 15 is your average sport simulation game for the PlayStation and Xbox consoles. Developed by EA Tiburon, this game offers a multiplayer mode.",(0: da) (0: name) (22: rating) (30: genres) (60: platforms) (105: developer) (135: hasmultiplayer)
"inform(name[Madden NFL 15], developer[EA Tiburon], rating[average], genres[simulation, sport], has_multiplayer[yes], platforms[PlayStation, Xbox])",Madden NFL 15 is an average sport simulation by EA Tiburon. The game has multiplayer and is on PlayStation and Xbox.,(0: da) (0: name) (20: rating) (28: genres) (48: developer) (73: hasmultiplayer) (96: platforms)
"inform(name[The Last of Us], release_year[2013], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","The PlayStation exclusive action-adventure game, The Last of Us, was released in 2013. It has been rated excellent, as it is enjoyed by people who like third person shooters.",(0: da) (4: platforms) (26: genres) (50: name) (83: releaseyear) (107: rating) (155: playerperspective)
"inform(name[The Last of Us], release_year[2013], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])",The Last of Us is an excellent action-adventure shooter game. It's a third person game from 2013 that was released for PlayStation.,(0: da) (0: name) (21: rating) (31: genres) (71: playerperspective) (94: releaseyear) (121: platforms)
"inform(name[The Last of Us], release_year[2013], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])",The Last of Us is an excellent third person shooter game that is action-adventure. The game is on PlayStation only and came out in 2013.,(0: da) (0: name) (21: rating) (31: playerperspective) (44: genres) (99: platforms) (132: releaseyear)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], platforms[PlayStation])","Ever played a vehicular combat sports game for the PlayStation, like for example MotorStorm: Apocalypse?",(0: da) (14: genres) (51: platforms) (82: name)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], platforms[PlayStation])",Are you a fan of vehicular combat games on the PlayStation like MotorStorm: Apocalypse?,(0: da) (17: genres) (47: platforms) (64: name)
"suggest(name[MotorStorm: Apocalypse], genres[vehicular combat], platforms[PlayStation])","Are you fond of vehicular combat games for the PlayStation, such as MotorStorm: Apocalypse?",(0: da) (16: genres) (47: platforms) (69: name)
"inform(name[Need for Speed: Shift], release_year[2009], developer[Slightly Mad Studios], esrb[E (for Everyone)], genres[driving/racing, simulation], has_multiplayer[yes])","If you are looking for a multiplayer racing simulation game, rated E (for Everyone), check out Need for Speed: Shift. It was developed by Slightly Mad Studios and released in 2009.",(0: da) (25: hasmultiplayer) (37: genres) (62: esrb) (99: name) (144: developer) (181: releaseyear)
"inform(name[Need for Speed: Shift], release_year[2009], developer[Slightly Mad Studios], esrb[E (for Everyone)], genres[driving/racing, simulation], has_multiplayer[yes])",Need for Speed: Shift is a racing simulator developed by Slightly Mad Studios and received an E (for Everyone) rating. The game released in 2009 and has multiplayer support.,(0: da) (0: name) (28: genres) (58: developer) (103: esrb) (144: releaseyear) (156: hasmultiplayer)
"inform(name[Need for Speed: Shift], release_year[2009], developer[Slightly Mad Studios], esrb[E (for Everyone)], genres[driving/racing, simulation], has_multiplayer[yes])",Need for Speed: Shift by Slightly Mad Studios is rated E (for Everyone). It is a multiplayer driving/racing simulator that came out in 2009.,(0: da) (0: name) (26: developer) (50: esrb) (84: hasmultiplayer) (97: genres) (139: releaseyear)
"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], has_linux_release[yes], has_mac_release[yes])","It's always nice to see a game that gives players options on where to play it, so I liked the The Elder Scrolls V: Skyrim, since it got released for both Mac and Linux.",(0: da) (85: rating) (96: name) (156: hasmacrelease) (164: haslinuxrelease)
"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], has_linux_release[yes], has_mac_release[yes])",I was quite impressed that The Elder Scrolls V: Skyrim runs smoothly on both Mac and Linux.,(0: da) (27: name) (78: hasmacrelease) (86: haslinuxrelease)
"give_opinion(name[The Elder Scrolls V: Skyrim], rating[good], has_linux_release[yes], has_mac_release[yes])","The Elder Scrolls V: Skyrim is predictably a good game. And of course, it's on Linux and Mac, as legally, any device must be able to run Skyrim, per the word of Todd.",(0: da) (0: name) (46: rating) (81: haslinuxrelease) (91: hasmacrelease)
request(specifier[absorbing]),Do you remember any games that you felt were absorbing?,(0: da) (45: specifier)
request(specifier[absorbing]),What game have you found particularly absorbing lately?,(0: da) (38: specifier)
request(specifier[absorbing]),What is the game you think has the most absorbing gameplay?,(0: da) (40: specifier)
"give_opinion(name[Super Mario World], esrb[E (for Everyone)], rating[excellent], has_multiplayer[yes])","Super Mario World is my current favorite game. I love multiplayer games that are rated E (for Everyone), so this is really my cup of tea!",(0: da) (0: name) (32: rating) (54: hasmultiplayer) (80: esrb)
"give_opinion(name[Super Mario World], esrb[E (for Everyone)], rating[excellent], has_multiplayer[yes])","Super Mario World is one of my favorite games. I love family friendly E rated games like it that have multiplayer, so I can play them with my entire family and friends.",(0: da) (0: name) (31: rating) (71: esrb) (102: hasmultiplayer)
"give_opinion(name[Super Mario World], esrb[E (for Everyone)], rating[excellent], has_multiplayer[yes])","Man, Super Mario World is downright amazing, totally beautiful. Go get it, right now. It's rated E so that's no excuse, and it has multiplayer. Play with your kids!",(0: da) (6: name) (37: rating) (96: esrb)
"inform(name[Stronghold 2], release_year[2005], genres[real-time strategy, simulation], has_multiplayer[yes])","The simulation and real-time strategy game, Stronghold 2, was released in 2005 and has multiplayer.",(0: da) (4: genres) (45: name) (76: releaseyear) (87: hasmultiplayer)
"inform(name[Stronghold 2], release_year[2005], genres[real-time strategy, simulation], has_multiplayer[yes])",Stronghold 2 is a multiplayer real-time strategy-simulation that was released in 2005.,(0: da) (0: name) (18: hasmultiplayer) (30: genres) (81: releaseyear)
"inform(name[Stronghold 2], release_year[2005], genres[real-time strategy, simulation], has_multiplayer[yes])",Stronghold 2 is a real-time strategy simulation game released in 2005 with multiplayer support.,(0: da) (0: name) (18: genres) (65: releaseyear) (75: hasmultiplayer)
"request_explanation(developer[Codemasters Southam], rating[average], platforms[PlayStation])",What is it about Codemasters Southam's PlayStation games that makes you say they're just average?,(0: da) (17: developer) (40: platforms) (89: rating)
"request_explanation(developer[Codemasters Southam], rating[average], platforms[PlayStation])",Why do you think that the PlayStation releases from Codemasters Southam are just mediocre?,(0: da) (26: platforms) (52: developer) (81: rating)
"request_explanation(developer[Codemasters Southam], rating[average], platforms[PlayStation])",What would you say makes Codemasters Southam's PlayStation games nothing more than average?,(0: da) (25: developer) (48: platforms) (83: rating)
"inform(name[Portal 2], developer[Valve Corporation], genres[platformer, puzzle, shooter], player_perspective[first person], has_multiplayer[yes])","Portal 2 is a puzzle and platforming shooter game by Valve Corporation. You play in first person, and there's a multiplayer mode.",(0: da) (0: name) (14: genres) (53: developer) (85: playerperspective) (113: hasmultiplayer)
"inform(name[Portal 2], developer[Valve Corporation], genres[platformer, puzzle, shooter], player_perspective[first person], has_multiplayer[yes])",Portal 2 is a puzzle-platforming first person shooter. It was developed by Valve Corporation and has multiplayer functionality.,(0: da) (0: name) (14: genres) (33: playerperspective) (76: developer) (101: hasmultiplayer)
"inform(name[Portal 2], developer[Valve Corporation], genres[platformer, puzzle, shooter], player_perspective[first person], has_multiplayer[yes])",Portal 2 from Valve Corporation is a platforming puzzle-shooter with first person view and multiplayer.,(0: da) (0: name) (14: developer) (37: genres) (69: playerperspective) (91: hasmultiplayer)
"inform(name[Layers of Fear], esrb[M (for Mature)], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person], has_multiplayer[no])","Layers of Fear is an indie point-and-click adventure game with a first person player perspective. It has a poor rating, does not have multiplayer, and is rate M (for Mature) by the ESRB.",(0: da) (0: name) (21: genres) (65: playerperspective) (107: rating) (134: hasmultiplayer) (170: esrb)
"inform(name[Layers of Fear], esrb[M (for Mature)], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person], has_multiplayer[no])",Layers of Fear was a first person perspective game that could only be played single-player. It is an indie point-and-click adventure game. It was rated M (for Mature) and was rated as poor by the players.,(0: da) (0: name) (21: playerperspective) (77: hasmultiplayer) (102: genres) (148: esrb) (186: rating)
"inform(name[Layers of Fear], esrb[M (for Mature)], rating[poor], genres[adventure, indie, point-and-click], player_perspective[first person], has_multiplayer[no])","Layers of Fear is a single-player first person indie adventure, point-and-click game with poor ratings. It is rated M (for Mature).",(0: da) (0: name) (20: hasmultiplayer) (34: playerperspective) (47: genres) (90: rating) (112: esrb)
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])",EA Digital Illusions CE gets a solid C for this entry into the action-adventure fighting game genre. Mirror's Edge Catalyst is nothing special.,(0: da) (0: developer) (63: genres) (102: name)
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])","I loved Mirror's Edge Catalyst, it was such an interesting take on the action-adventure fighting genre, especially for EA Digital Illusions CE.",(0: da) (8: name) (73: genres) (122: developer)
"give_opinion(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])","EA Digital Illusions CE did an okay job on Mirror's Edge Catalyst, but the action-adventure fighting game didn't really live up to my hype for it.",(0: da) (0: developer) (31: rating) (43: name) (77: genres)
"inform(name[Sid Meier's Civilization V], developer[Firaxis Games], esrb[E 10+ (for Everyone 10 and Older)], rating[good], genres[simulation, turn-based strategy], player_perspective[bird view])","Sid Meier's Civilization V is a turn-based strategy sim with a bird's eye view. It was released by Firaxis Games with an E 10+ rating, and has received positive reviews.",(0: da) (0: name) (33: genres) (64: playerperspective) (102: developer) (122: esrb) (154: rating)
"inform(name[Sid Meier's Civilization V], developer[Firaxis Games], esrb[E 10+ (for Everyone 10 and Older)], rating[good], genres[simulation, turn-based strategy], player_perspective[bird view])",Sid Meier's Civilization V by Firaxis Games is a good E 10+ (for Everyone 10 and Older) game. It's a turn-based simulation-strategy game set in bird view.,(0: da) (0: name) (31: developer) (50: rating) (54: esrb) (106: genres) (148: playerperspective)
"inform(name[Sid Meier's Civilization V], developer[Firaxis Games], esrb[E 10+ (for Everyone 10 and Older)], rating[good], genres[simulation, turn-based strategy], player_perspective[bird view])",Sid Meier's Civilization V is a turn-based simulation strategy that features a bird view perspective. It was developed by Firaxis Games and has ESRB rating of E 10+ (for everyone 10 and older). It has received overall good ratings.,(0: da) (0: name) (33: genres) (80: playerperspective) (124: developer) (160: esrb) (221: rating)
"inform(name[World of Warcraft: Battle for Azeroth], exp_release_date[August 14, 2018], developer[Blizzard Entertainment], genres[MMORPG], player_perspective[third person], platforms[PC])","World of Warcraft: Battle for Azeroth is a third person MMORPG by Blizzard Entertainment. The game will be released for PC on August 14, 2018.",(0: da) (0: name) (44: playerperspective) (57: genres) (67: developer) (121: platforms) (128: expreleasedate)
"inform(name[World of Warcraft: Battle for Azeroth], exp_release_date[August 14, 2018], developer[Blizzard Entertainment], genres[MMORPG], player_perspective[third person], platforms[PC])","August 14, 2018 will see the release of Blizzard Entertainment's World of Warcraft: Battle for Azeroth, a third person MMORPG available exclusively on PC.",(0: da) (0: expreleasedate) (41: developer) (67: name) (110: playerperspective) (123: genres) (153: platforms)
"inform(name[World of Warcraft: Battle for Azeroth], exp_release_date[August 14, 2018], developer[Blizzard Entertainment], genres[MMORPG], player_perspective[third person], platforms[PC])","Blizzard Entertainment has a new MMORPG coming out August 14, 2018 for PC. It's called World of Warcraft: Battle for Azeroth and is a third person perspective game.",(0: da) (0: developer) (33: genres) (51: expreleasedate) (71: platforms) (90: name) (138: playerperspective)
"inform(name[Driver], release_year[1999], genres[driving/racing, simulation], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])","Driver is a 1999 driving simulation game that is available on PlayStation, PC and Mac, but not Linux.",(0: da) (0: name) (12: releaseyear) (17: genres) (62: platforms) (82: hasmacrelease) (95: haslinuxrelease)
"inform(name[Driver], release_year[1999], genres[driving/racing, simulation], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])","Driver is a driving/racing simulation game made in 1999. It's available for PlayStation, PC and Mac with no Linux release.",(0: da) (0: name) (12: genres) (51: releaseyear) (77: platforms) (96: hasmacrelease) (108: haslinuxrelease)
"inform(name[Driver], release_year[1999], genres[driving/racing, simulation], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])",Driver is a driving simulation game that was released in 1999. It can be played on PlayStation and PC. It is released on Mac but not on Linux.,(0: da) (0: name) (12: genres) (57: releaseyear) (83: platforms) (120: hasmacrelease) (135: haslinuxrelease)
request(specifier[upcoming]),Is there any upcoming game you're looking forward to?,(0: da) (13: specifier)
request(specifier[upcoming]),Are there any upcoming games you're interested in?,(0: da) (14: specifier)
request(specifier[upcoming]),What upcoming video game are you looking forward to the most?,(0: da) (5: specifier)
